architecture,fact_type,eligible,width_tokens,ci_low,ci_high,frac_finite,n_items
deltanet,contradictory,True,71.37,68.55,73.41,1.0,48.0
deltanet,entity-attribute,True,54.17,50.63,57.08,1.0,48.0
deltanet,multi-hop,False,,,,,
deltanet,numerical,True,77.0,75.25,78.37,1.0,48.0
deltanet,temporal,False,,,,,
gated_deltanet,contradictory,True,61.78,59.06,66.85,1.0,48.0
gated_deltanet,entity-attribute,True,49.49,42.17,54.15,1.0,48.0
gated_deltanet,multi-hop,False,,,,,
gated_deltanet,numerical,True,75.38,73.43,76.99,1.0,48.0
gated_deltanet,temporal,False,,,,,
mamba2,contradictory,True,73.84,71.68,75.7,1.0,48.0
mamba2,entity-attribute,True,58.29,55.82,64.81,1.0,48.0
mamba2,multi-hop,False,,,,,
mamba2,numerical,True,74.56,72.43,76.33,1.0,48.0
mamba2,temporal,False,,,,,
transformer,contradictory,True,29.36,27.74,31.21,1.0,48.0
transformer,entity-attribute,True,32.41,30.39,39.17,1.0,48.0
transformer,multi-hop,False,,,,,
transformer,numerical,True,36.22,34.71,37.87,1.0,48.0
transformer,temporal,False,,,,,
