architecture,fact_type,n,correct,strict_acc,wilson95_high,abstention_rate
deltanet,contradictory,705,0,0.0,0.00542,0.9433
deltanet,entity-attribute,727,0,0.0,0.00526,0.9904
deltanet,multi-hop,687,0,0.0,0.00556,0.984
deltanet,numerical,713,0,0.0,0.00536,1.0
deltanet,temporal,710,0,0.0,0.00538,1.0
gated_deltanet,contradictory,705,0,0.0,0.00542,0.9191
gated_deltanet,entity-attribute,727,0,0.0,0.00526,0.9876
gated_deltanet,multi-hop,687,0,0.0,0.00556,0.9869
gated_deltanet,numerical,713,0,0.0,0.00536,1.0
gated_deltanet,temporal,710,0,0.0,0.00538,1.0
mamba2,contradictory,705,0,0.0,0.00542,0.9702
mamba2,entity-attribute,727,0,0.0,0.00526,0.9354
mamba2,multi-hop,687,0,0.0,0.00556,0.9825
mamba2,numerical,713,0,0.0,0.00536,1.0
mamba2,temporal,710,1,0.00141,0.00793,0.9986
transformer,contradictory,705,0,0.0,0.00542,0.8
transformer,entity-attribute,727,1,0.00138,0.00775,0.923
transformer,multi-hop,687,0,0.0,0.00556,0.9141
transformer,numerical,713,0,0.0,0.00536,0.9032
transformer,temporal,710,2,0.00282,0.01021,0.9085
