fact_type,fact_type_display,intended_model_tat,realised_model_tat_median,strict_accuracy,abstention_rate,n
contradictory,contradictory,150,148.0,1.0,0.0,1152
contradictory,contradictory,180,183.5,0.9921875,0.006944444444444444,1152
contradictory,contradictory,205,203.5,0.8151041666666666,0.12152777777777778,1152
contradictory,contradictory,220,220.0,0.5130208333333334,0.22569444444444445,1152
contradictory,contradictory,235,233.0,0.6762152777777778,0.1189236111111111,1152
contradictory,contradictory,250,249.0,0.5763888888888888,0.2838541666666667,1152
contradictory,contradictory,265,267.0,0.020833333333333332,0.5546875,1152
contradictory,contradictory,285,284.0,0.0,0.3680555555555556,1152
contradictory,contradictory,315,314.0,0.0,0.9192708333333334,1152
contradictory,contradictory,380,380.0,0.0,0.9800347222222222,1152
contradictory,contradictory,520,521.0,0.0,0.9852430555555556,1152
contradictory,contradictory,760,760.0,0.0,0.9079861111111112,1152
entity-attribute,entity-attribute,150,153.0,1.0,0.0,1152
entity-attribute,entity-attribute,180,180.0,1.0,0.0,1152
entity-attribute,entity-attribute,205,204.0,0.9418402777777778,0.026041666666666668,1152
entity-attribute,entity-attribute,220,218.0,0.7821180555555556,0.08072916666666667,1152
entity-attribute,entity-attribute,235,238.0,0.7239583333333334,0.17881944444444445,1152
entity-attribute,entity-attribute,250,251.0,0.5069444444444444,0.4071180555555556,1152
entity-attribute,entity-attribute,265,265.0,0.014756944444444444,0.8046875,1152
entity-attribute,entity-attribute,285,282.0,0.001736111111111111,0.8151041666666666,1152
entity-attribute,entity-attribute,315,313.0,0.0,0.9748263888888888,1152
entity-attribute,entity-attribute,380,379.0,0.0,0.9826388888888888,1152
entity-attribute,entity-attribute,520,521.0,0.0,0.9826388888888888,1152
entity-attribute,entity-attribute,760,762.0,0.0,0.9609375,1152
multi-hop,compound-relational,150,153.0,0.8619791666666666,0.10677083333333333,1152
multi-hop,compound-relational,180,180.0,0.8255208333333334,0.11979166666666667,1152
multi-hop,compound-relational,205,205.0,0.4644097222222222,0.2890625,1152
multi-hop,compound-relational,220,219.0,0.3359375,0.3515625,1152
multi-hop,compound-relational,235,237.0,0.3203125,0.4939236111111111,1152
multi-hop,compound-relational,250,252.0,0.14756944444444445,0.7717013888888888,1152
multi-hop,compound-relational,265,266.0,0.006076388888888889,0.9418402777777778,1152
multi-hop,compound-relational,285,279.0,0.0,0.9565972222222222,1152
multi-hop,compound-relational,315,315.0,0.0,0.9739583333333334,1152
multi-hop,compound-relational,380,380.0,0.0,0.9730902777777778,1152
multi-hop,compound-relational,520,520.0,0.0,0.9878472222222222,1152
multi-hop,compound-relational,760,764.0,0.0,0.9826388888888888,1152
numerical,numerical,150,143.0,0.9973958333333334,0.0026041666666666665,1152
numerical,numerical,180,180.0,1.0,0.0,1152
numerical,numerical,205,207.0,0.6267361111111112,0.1032986111111111,1152
numerical,numerical,220,221.5,0.3333333333333333,0.1935763888888889,1152
numerical,numerical,235,232.0,0.5598958333333334,0.1519097222222222,1152
numerical,numerical,250,250.0,0.4270833333333333,0.4947916666666667,1152
numerical,numerical,265,267.0,0.0,0.9409722222222222,1152
numerical,numerical,285,288.0,0.0,0.9522569444444444,1152
numerical,numerical,315,314.0,0.0,0.9973958333333334,1152
numerical,numerical,380,380.0,0.0,1.0,1152
numerical,numerical,520,520.0,0.0,1.0,1152
numerical,numerical,760,761.0,0.0,1.0,1152
temporal,temporal,150,148.0,0.5390625,0.4114583333333333,1152
temporal,temporal,180,180.0,0.5963541666666666,0.3567708333333333,1152
temporal,temporal,205,203.0,0.5668402777777778,0.3923611111111111,1152
temporal,temporal,220,222.0,0.3723958333333333,0.4192708333333333,1152
temporal,temporal,235,235.0,0.3663194444444444,0.4461805555555556,1152
temporal,temporal,250,249.0,0.2204861111111111,0.7378472222222222,1152
temporal,temporal,265,266.0,0.008680555555555556,0.9878472222222222,1152
temporal,temporal,285,284.0,0.022569444444444444,0.9748263888888888,1152
temporal,temporal,315,313.0,0.004340277777777778,0.9939236111111112,1152
temporal,temporal,380,379.0,0.004340277777777778,0.9956597222222222,1152
temporal,temporal,520,521.0,0.0,0.9991319444444444,1152
temporal,temporal,760,759.0,0.0008680555555555555,0.9991319444444444,1152
