architecture,intended_model_tokens_after_target,x,abst,n
deltanet,150,149.0,0.10416666666666667,1920
deltanet,180,181.0,0.09739583333333333,1920
deltanet,205,204.0,0.171875,1920
deltanet,220,220.0,0.22291666666666668,1920
deltanet,235,235.0,0.2916666666666667,1920
deltanet,250,250.0,0.54375,1920
deltanet,265,266.0,0.8416666666666667,1920
deltanet,285,284.0,0.83125,1920
deltanet,315,314.0,0.9713541666666666,1920
deltanet,380,379.0,0.9869791666666666,1920
deltanet,520,521.0,0.9921875,1920
deltanet,760,761.0,0.9765625,1920
gated_deltanet,150,149.0,0.10416666666666667,1920
gated_deltanet,180,181.0,0.09635416666666667,1920
gated_deltanet,205,204.0,0.196875,1920
gated_deltanet,220,220.0,0.2947916666666667,1920
gated_deltanet,235,235.0,0.27447916666666666,1920
gated_deltanet,250,250.0,0.5005208333333333,1920
gated_deltanet,265,266.0,0.8161458333333333,1920
gated_deltanet,285,284.0,0.7770833333333333,1920
gated_deltanet,315,314.0,0.9734375,1920
gated_deltanet,380,379.0,0.9838541666666667,1920
gated_deltanet,520,521.0,0.9875,1920
gated_deltanet,760,761.0,0.9703125,1920
mamba2,150,149.0,0.10416666666666667,1920
mamba2,180,181.0,0.09635416666666667,1920
mamba2,205,204.0,0.190625,1920
mamba2,220,220.0,0.24479166666666666,1920
mamba2,235,235.0,0.2677083333333333,1920
mamba2,250,250.0,0.5729166666666666,1920
mamba2,265,266.0,0.8802083333333334,1920
mamba2,285,284.0,0.8317708333333333,1920
mamba2,315,314.0,0.9708333333333333,1920
mamba2,380,379.0,0.9880208333333333,1920
mamba2,520,521.0,0.9932291666666667,1920
mamba2,760,761.0,0.9635416666666666,1920
transformer,150,149.0,0.10416666666666667,1920
transformer,180,181.0,0.10052083333333334,1920
transformer,205,204.0,0.153125,1920
transformer,220,220.0,0.12760416666666666,1920
transformer,235,235.0,0.1515625,1920
transformer,250,250.0,0.4552083333333333,1920
transformer,265,266.0,0.5177083333333333,1920
transformer,285,284.0,0.3223958333333333,1920
transformer,315,314.0,0.2677083333333333,1920
transformer,380,379.0,0.2635416666666667,1920
transformer,520,521.0,0.8208333333333333,1920
transformer,760,761.0,0.9458333333333333,1920
