architecture,pressure_group,requested_tokens_after_target,tokens_after_target,model_tokens_after_target,model_tokens_after_target_mean,sliding_window,pressure_windows,memory_condition,accuracy,ci_low,ci_high,n
deltanet,150,75,90,149.0,149.63854166666667,256,0.58203125,exact_memory,0.8796875,0.8666666666666667,0.8921875,1920
deltanet,180,111,122,181.0,181.31770833333337,256,0.70703125,exact_memory,0.8822916666666667,0.8640625,0.8984375,1920
deltanet,205,135,146,204.0,204.85625,256,0.796875,exact_memory,0.6723958333333333,0.6546744791666667,0.6869791666666667,1920
deltanet,220,147,162,220.0,220.559375,256,0.859375,exact_memory,0.4375,0.41875,0.4572916666666666,1920
deltanet,235,162,177,235.0,235.83229166666663,256,0.91796875,exact_memory,0.5083333333333333,0.4869791666666667,0.534375,1920
deltanet,250,180,192,250.0,250.80104166666663,256,0.9765625,exact_memory,0.3755208333333333,0.3442708333333333,0.4052083333333333,1920
deltanet,265,195,208,266.0,266.54583333333335,256,1.0390625,recurrent_memory,0.0083333333333333,0.003125,0.0145833333333333,1920
deltanet,285,210,225,284.0,284.5421875,256,1.109375,recurrent_memory,0.0,0.0,0.0,1920
deltanet,315,243,256,314.0,314.83385416666664,256,1.2265625,recurrent_memory,0.0,0.0,0.0,1920
deltanet,380,309,321,379.0,380.00416666666666,256,1.48046875,recurrent_memory,0.0005208333333333,0.0,0.0015625,1920
deltanet,520,450,462,521.0,521.1489583333333,256,2.03515625,recurrent_memory,0.0,0.0,0.0,1920
deltanet,760,690,704,761.0,762.1708333333333,256,2.97265625,recurrent_memory,0.0,0.0,0.0,1920
gated_deltanet,150,75,90,149.0,149.63854166666667,256,0.58203125,exact_memory,0.8796875,0.8666666666666667,0.8921875,1920
gated_deltanet,180,111,122,181.0,181.31770833333337,256,0.70703125,exact_memory,0.8833333333333333,0.865625,0.8979166666666667,1920
gated_deltanet,205,135,146,204.0,204.85625,256,0.796875,exact_memory,0.7015625,0.678125,0.7223958333333333,1920
gated_deltanet,220,147,162,220.0,220.559375,256,0.859375,exact_memory,0.509375,0.4911458333333333,0.5260546874999998,1920
gated_deltanet,235,162,177,235.0,235.83229166666663,256,0.91796875,exact_memory,0.5572916666666666,0.5317708333333333,0.5833333333333334,1920
gated_deltanet,250,180,192,250.0,250.80104166666663,256,0.9765625,exact_memory,0.4135416666666666,0.38125,0.4484505208333332,1920
gated_deltanet,265,195,208,266.0,266.54583333333335,256,1.0390625,recurrent_memory,0.0114583333333333,0.00625,0.0177083333333333,1920
gated_deltanet,285,210,225,284.0,284.5421875,256,1.109375,recurrent_memory,0.0015625,0.0005078125,0.003125,1920
gated_deltanet,315,243,256,314.0,314.83385416666664,256,1.2265625,recurrent_memory,0.0010416666666666,0.0,0.003125,1920
gated_deltanet,380,309,321,379.0,380.00416666666666,256,1.48046875,recurrent_memory,0.0015625,0.0,0.003125,1920
gated_deltanet,520,450,462,521.0,521.1489583333333,256,2.03515625,recurrent_memory,0.0,0.0,0.0,1920
gated_deltanet,760,690,704,761.0,762.1708333333333,256,2.97265625,recurrent_memory,0.0,0.0,0.0,1920
mamba2,150,75,90,149.0,149.63854166666667,256,0.58203125,exact_memory,0.8796875,0.8666666666666667,0.8921875,1920
mamba2,180,111,122,181.0,181.31770833333337,256,0.70703125,exact_memory,0.8828125,0.8661458333333333,0.896875,1920
mamba2,205,135,146,204.0,204.85625,256,0.796875,exact_memory,0.675,0.6515625,0.6979166666666666,1920
mamba2,220,147,162,220.0,220.559375,256,0.859375,exact_memory,0.4552083333333333,0.4296875,0.4823046874999999,1920
mamba2,235,162,177,235.0,235.83229166666663,256,0.91796875,exact_memory,0.5223958333333333,0.503125,0.5442708333333334,1920
mamba2,250,180,192,250.0,250.80104166666663,256,0.9765625,exact_memory,0.3380208333333333,0.3145833333333333,0.3651041666666667,1920
mamba2,265,195,208,266.0,266.54583333333335,256,1.0390625,recurrent_memory,0.0104166666666666,0.0041666666666666,0.0192708333333333,1920
mamba2,285,210,225,284.0,284.5421875,256,1.109375,recurrent_memory,0.0130208333333333,0.0083333333333333,0.0182291666666666,1920
mamba2,315,243,256,314.0,314.83385416666664,256,1.2265625,recurrent_memory,0.0015625,0.0005078125,0.003125,1920
mamba2,380,309,321,379.0,380.00416666666666,256,1.48046875,recurrent_memory,0.0005208333333333,0.0,0.0015625,1920
mamba2,520,450,462,521.0,521.1489583333333,256,2.03515625,recurrent_memory,0.0,0.0,0.0,1920
mamba2,760,690,704,761.0,762.1708333333333,256,2.97265625,recurrent_memory,0.0005208333333333,0.0,0.0015625,1920
transformer,150,75,90,149.0,149.63854166666667,256,0.58203125,exact_memory,0.8791666666666667,0.8666536458333334,0.8916666666666667,1920
transformer,180,111,122,181.0,181.31770833333337,256,0.70703125,exact_memory,0.8786458333333333,0.8598958333333333,0.8947916666666667,1920
transformer,205,135,146,204.0,204.85625,256,0.796875,exact_memory,0.5890625,0.5703125,0.6052083333333333,1920
transformer,220,147,162,220.0,220.559375,256,0.859375,exact_memory,0.1838541666666666,0.1713541666666666,0.1953125,1920
transformer,235,162,177,235.0,235.83229166666663,256,0.91796875,exact_memory,0.0291666666666666,0.0229166666666666,0.0364583333333333,1920
transformer,250,180,192,250.0,250.80104166666663,256,0.9765625,exact_memory,0.015625,0.0104166666666666,0.0213541666666666,1920
transformer,265,195,208,266.0,266.54583333333335,256,1.0390625,recurrent_memory,0.0005208333333333,0.0,0.0015625,1920
transformer,285,210,225,284.0,284.5421875,256,1.109375,recurrent_memory,0.0,0.0,0.0,1920
transformer,315,243,256,314.0,314.83385416666664,256,1.2265625,recurrent_memory,0.0083333333333333,0.00625,0.0104166666666666,1920
transformer,380,309,321,379.0,380.00416666666666,256,1.48046875,recurrent_memory,0.0088541666666666,0.0052083333333333,0.0119791666666666,1920
transformer,520,450,462,521.0,521.1489583333333,256,2.03515625,recurrent_memory,0.0015625,0.0,0.0036458333333333,1920
transformer,760,690,704,761.0,762.1708333333333,256,2.97265625,recurrent_memory,0.0,0.0,0.0,1920
