pressure_group,model_tokens_after_target,abstention_rate,n_abstained,mean_confidence_on_abstention,median_confidence_on_abstention,architecture
150,149.0,0.1041666666666666,200,0.8859478826529164,0.9708392777317484,deltanet
180,181.0,0.0973958333333333,187,0.8760573464557161,0.946101509411463,deltanet
205,204.0,0.171875,330,0.7769847802171529,0.86606409835256,deltanet
220,220.0,0.2229166666666666,428,0.6607522041186309,0.6950315614690159,deltanet
235,235.0,0.2916666666666667,560,0.595582713988721,0.6002898644326942,deltanet
250,250.0,0.54375,1044,0.6162789193385073,0.6031397128628786,deltanet
265,266.0,0.8416666666666667,1616,0.6202098682075701,0.604298905856899,deltanet
285,284.0,0.83125,1596,0.6628143439080337,0.6450327366545334,deltanet
315,314.0,0.9713541666666666,1865,0.7661722600586724,0.7892864618522829,deltanet
380,379.0,0.9869791666666666,1895,0.7953283146142971,0.8171616962603012,deltanet
520,521.0,0.9921875,1905,0.7139783776709869,0.7318040384219714,deltanet
760,761.0,0.9765625,1875,0.7069854934427318,0.7255468735749906,deltanet
150,149.0,0.1041666666666666,200,0.8859478826529164,0.9708392777317484,gated_deltanet
180,181.0,0.0963541666666666,185,0.8712344803770327,0.946234061147382,gated_deltanet
205,204.0,0.196875,378,0.7861663374316131,0.895807219457252,gated_deltanet
220,220.0,0.2947916666666667,566,0.6433944835287477,0.7110156211941371,gated_deltanet
235,235.0,0.2744791666666666,527,0.4847579525361796,0.4782071032195883,gated_deltanet
250,250.0,0.5005208333333333,961,0.6534832333621855,0.6613094728831825,gated_deltanet
265,266.0,0.8161458333333333,1567,0.6846778462286826,0.6933707269525927,gated_deltanet
285,284.0,0.7770833333333333,1492,0.6350503886597236,0.6296641125176095,gated_deltanet
315,314.0,0.9734375,1869,0.6711067725805993,0.6711069818168192,gated_deltanet
380,379.0,0.9838541666666668,1889,0.8114313777769777,0.8487135242783727,gated_deltanet
520,521.0,0.9875,1896,0.7678385925641336,0.8015648668342156,gated_deltanet
760,761.0,0.9703125,1863,0.7839482010228812,0.8129537697887953,gated_deltanet
150,149.0,0.1041666666666666,200,0.8859478826529164,0.9708392777317484,mamba2
180,181.0,0.0963541666666666,185,0.8759667155558292,0.9517376026987606,mamba2
205,204.0,0.190625,366,0.7872915977091516,0.8285950342192647,mamba2
220,220.0,0.2447916666666666,470,0.7302949367638055,0.7734323754111045,mamba2
235,235.0,0.2677083333333333,514,0.6722584676451235,0.6756785052632657,mamba2
250,250.0,0.5729166666666666,1100,0.71181052279681,0.7137757013504097,mamba2
265,266.0,0.8802083333333334,1690,0.7256324692435251,0.7402355531833444,mamba2
285,284.0,0.8317708333333333,1597,0.713251707773591,0.726672313581922,mamba2
315,314.0,0.9708333333333332,1864,0.7556356658215709,0.7653955478743509,mamba2
380,379.0,0.9880208333333332,1897,0.7802021632059098,0.8075700267116561,mamba2
520,521.0,0.9932291666666668,1907,0.8090284463593447,0.8532777600880803,mamba2
760,761.0,0.9635416666666666,1850,0.7176036050560091,0.7495401436278359,mamba2
150,149.0,0.1041666666666666,200,0.8867093972546656,0.9694872002910048,transformer
180,181.0,0.1005208333333333,193,0.8772374931417545,0.9522840889990632,transformer
205,204.0,0.153125,294,0.7875212806591988,0.8635422195212046,transformer
220,220.0,0.1276041666666666,245,0.6435034437491212,0.73333406441168,transformer
235,235.0,0.1515625,291,0.2246978043225336,0.1856198315873264,transformer
250,250.0,0.4552083333333333,874,0.1909023843677639,0.1536325423140558,transformer
265,266.0,0.5177083333333333,994,0.1454256660152548,0.1200924810577673,transformer
285,284.0,0.3223958333333333,619,0.128527782348856,0.110782258782627,transformer
315,314.0,0.2677083333333333,514,0.1963173903325582,0.1070826493962946,transformer
380,379.0,0.2635416666666667,506,0.4706112563920788,0.506509927419066,transformer
520,521.0,0.8208333333333333,1576,0.6667648645003268,0.6634424191813857,transformer
760,761.0,0.9458333333333332,1816,0.7493051469161954,0.7631711889737447,transformer
